#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Tetris Battle Gaiden (Japan);Tetris Battle Gaiden (Japan);Nintendo Super Famicom;;1993;Bullet Proof Software;Puzzle;;;;;0;;;;;
Tetsuwan Atom (Japan);Tetsuwan Atom (Japan);Nintendo Super Famicom;;1994;Minato Giken;Platform;;;;;0;;;;;
Thunderbirds - Kokusai Kyuujotai Shutsudou seyo! (Japan);Thunderbirds - Kokusai Kyuujotai Shutsudou seyo! (Japan);Nintendo Super Famicom;;1993;Nova Games Ltd.;Action;;;;;0;;;;;
Tokoro's Mahjong (Japan);Tokoro's Mahjong (Japan);Nintendo Super Famicom;;1994;Syscom;Mahjong;;;;;0;;;;;
Toride (Japan);Toride (Japan);Nintendo Super Famicom;;1994;Metro;Puzzle;;;;;0;;;;;
Torneko no Daibouken - Fushigi no Dungeon (Japan) (Translated En);Torneko no Daibouken - Fushigi no Dungeon (Japan) (Translated En);Nintendo Super Famicom;;1993;Chunsoft;Role-Playing;;;;;0;;;;;
Touge Densetsu - Saisoku Battle (Japan);Touge Densetsu - Saisoku Battle (Japan);Nintendo Super Famicom;;1996;Lenar;Motorcycle;;;;;0;;;;;
Treasure Hunter G (Japan) (Translated En);Treasure Hunter G (Japan) (Translated En);Nintendo Super Famicom;;1996;Squaresoft;Role-Playing;;;;;0;;;;;
Tsuppari Oozumou - Risshinshusse Hen (Japan);Tsuppari Oozumou - Risshinshusse Hen (Japan);Nintendo Super Famicom;;1993;Tecmo;Sports/Wrestling;;;;;0;;;;;
Tsuyoshi Shikkari Shinasai - Taisen Puzzle Dama (Japan);Tsuyoshi Shikkari Shinasai - Taisen Puzzle Dama (Japan);Nintendo Super Famicom;;1994;Konami;Puzzle;;;;;0;;;;;
TwinBee - Rainbow Bell Adventure (Japan) (Translated En);TwinBee - Rainbow Bell Adventure (Japan) (Translated En);Nintendo Super Famicom;;1994;Konami;Platform;;;;;0;;;;;
U.F.O. Kamen Yakisoban - Kettler no Kuroi Inbou (Japan);U.F.O. Kamen Yakisoban - Kettler no Kuroi Inbou (Japan);Nintendo Super Famicom;;1994;Kid;Beat-'Em-Up;;;;;0;;;;;
