#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Vs. (USA);Vs. (USA);Sony PlayStation;;;;;;;;;;;;;;
Big League Slugger Baseball (USA);Big League Slugger Baseball (USA);Sony PlayStation;;2003;Media Group;Sports;1;;;;;;;;;
Big Ol' Bass 2 (USA);Big Ol' Bass 2 (USA);Sony PlayStation;;1999;Konami;Sports;;;;;;;;;;
Big Strike Bowling (USA);Big Strike Bowling (USA);Sony PlayStation;;2003;Gotham Games;Sports;;;;;;;;;;
Billiards (USA);Billiards (USA);Sony PlayStation;;2001;Agetec;Sports;;;;;;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S. (USA);Sony PlayStation;;;;;;;;;;;;;;
Bishi Bashi Special (Europe);Bishi Bashi Special (Europe);Sony PlayStation;;2000;Konami;Puzzle;3;;;;;;;;;
Black Bass with Blue Marlin (USA);Black Bass with Blue Marlin (USA);Sony PlayStation;;1999;Hot-B;Sports;2;;;;;;;;;
Black Dawn (USA);Black Dawn (USA);Sony PlayStation;;1996;Virgin;Action;;;;;;;;;;
Blade (USA);Blade (USA);Sony PlayStation;;2000;Activision;Action;1;;;;;;;;;
Blast Chamber (USA);Blast Chamber (USA);Sony PlayStation;;1996;Activision;Action / Puzzle;4+;;;;;;;;;
Blast Lacrosse (USA);Blast Lacrosse (USA);Sony PlayStation;;2001;Acclaim Sports;Sports;2;;;;;;;;;
Blast Radius (USA);Blast Radius (USA);Sony PlayStation;;1999;Psygnosis;Shooter;;;;;;;;;;
Blaster Master - Blasting Again (USA);Blaster Master - Blasting Again (USA);Sony PlayStation;;2001;SunSoft;Action / Shooter;1;;;;;;;;;
Blasto (USA);Blasto (USA);Sony PlayStation;;1998;SCEA;Platform / Shooter;1;;;;;;;;;
Blaze & Blade - Eternal Quest (Europe);Blaze & Blade - Eternal Quest (Europe);Sony PlayStation;;;;;;;;;;;;;;
Blazing Dragons (USA);Blazing Dragons (USA);Sony PlayStation;;1996;Mindscape;Adventure;1;;;;;;;;;
Block Buster (Europe);Block Buster (Europe);Sony PlayStation;;;;;;;;;;;;;;
Blockids (USA);Blockids (USA);Sony PlayStation;;2003;Natsume;;;;;;;;;;;
Blood Lines (Europe) (En,Fr,De,Es,It);Blood Lines (Europe) (En,Fr,De,Es,It);Sony PlayStation;;1999;Sony Computer Entertainment Europe Ltd.;Fighting;2;;;;;;;;;
Blood Omen - Legacy of Kain (USA);Blood Omen - Legacy of Kain (USA);Sony PlayStation;;1996;Sony;Action / Adventure / Horror;1;;;;;;;;;
Bloody Roar (USA);Bloody Roar (USA);Sony PlayStation;;1997;Sony;Fighting;2;;;;;;;;;
Bloody Roar II (USA);Bloody Roar II (USA);Sony PlayStation;;1999;Sony;Fighting;2;;;;;;;;;
Blue's Clues - Blue's Big Musical (USA);Blue's Clues - Blue's Big Musical (USA);Sony PlayStation;;2001;THQ;Action;;;;;;;;;;
Board Game - Top Shop (USA);Board Game - Top Shop (USA);Sony PlayStation;;;;;;;;;;;;;;
Bob the Builder - Can We Fix It (USA);Bob the Builder - Can We Fix It (USA);Sony PlayStation;;2000;THQ;Construction and Management Simulation;1;;;;;;;;;
Bogey - Dead 6 (USA);Bogey - Dead 6 (USA);Sony PlayStation;;1996;Sony;Flight Simulator;1;;;;;;;;;
Bokan to Ippatsu! Doronbo - Time Bokan Shirizu (Japan);Bokan to Ippatsu! Doronbo - Time Bokan Shirizu (Japan);Sony PlayStation;;;;;;;;;;;;;;
Bomberman - Party Edition (USA);Bomberman - Party Edition (USA);Sony PlayStation;;2000;Vatical Entertainment;Strategy;2;;;;;;;;;
Bomberman Fantasy Race (USA);Bomberman Fantasy Race (USA);Sony PlayStation;;1999;Atlus;Racing;2;;;;;;;;;
Bomberman World (USA);Bomberman World (USA);Sony PlayStation;;1998;SCEA;;;;;;;;;;;
Bombing Islands, The (USA);Bombing Islands, The (USA);Sony PlayStation;;2001;Kemco;;1;;;;;;;;;
BoomBots (USA);BoomBots (USA);Sony PlayStation;;1999;Dreamworks;;;;;;;;;;;
Bottom of the 9th '97 (USA);Bottom of the 9th '97 (USA);Sony PlayStation;;1997;Konami;Sports;1;;;;;;;;;
Bottom of the 9th '99 (USA);Bottom of the 9th '99 (USA);Sony PlayStation;;1998;Konami;Sports;1;;;;;;;;;
Bottom of the 9th (USA);Bottom of the 9th (USA);Sony PlayStation;;1996;Konami;Sports;;;;;;;;;;
Bowling (USA);Bowling (USA);Sony PlayStation;;2001;Agetec;Sports;1;;;;;;;;;
Boxing (USA);Boxing (USA);Sony PlayStation;;2001;Agetec;Sports;2;;;;;;;;;
Brahma Force - The Assault on Beltlogger 9 (USA);Brahma Force - The Assault on Beltlogger 9 (USA);Sony PlayStation;;1997;Genki Co.;;;;;;;;;;;
BrainDead 13 (USA);BrainDead 13 (USA);Sony PlayStation;;;;;;;;;;;;;;
Bratz - Dress Up, Get Down and Be a Bratz Superstar! (USA) (En,Fr,Es);Bratz - Dress Up, Get Down and Be a Bratz Superstar! (USA) (En,Fr,Es);Sony PlayStation;;;;;;;;;;;;;;
Brave Fencer Musashi (USA);Brave Fencer Musashi (USA);Sony PlayStation;;1998;Square EA;Action / Adventure / Role-Playing;1;;;;;;;;;
Bravo Air Race (USA);Bravo Air Race (USA);Sony PlayStation;;1997;THQ;Racing;;;;;;;;;;
Break Out (USA);Break Out (USA);Sony PlayStation;;;;;;;;;;;;;;
Break Point (Europe) (En,Fr);Break Point (Europe) (En,Fr);Sony PlayStation;;;;;;;;;;;;;;
Breath of Fire III (USA);Breath of Fire III (USA);Sony PlayStation;;1997;Capcom;Role-Playing;1;;;;;;;;;
