Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Nintendo Super Famicom;;1995;Angel (Bandai);Role-Playing;;;;;0;;;;;
sailormnt;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Taiwan);MAME (Libretro);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnt;Pretty Soldier Sailor Moon (ver. 95/03/22B, Taiwan);MAME (Mame4all);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnt;Pretty Soldier Sailor Moon (Ver. 95/03/22B, Taiwan);MAME (Mame4all);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnu;Pretty Soldier Sailor Moon (ver. 95/03/22B, USA);Arcade;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnu;Pretty Soldier Sailor Moon (Ver. 95/03/22B, USA);Arcade;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnu;Pretty Soldier Sailor Moon (ver. 95/03/22B, USA);Final Burn Alpha;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnu;Pretty Soldier Sailor Moon (Ver. 95/03/22B, USA);Final Burn Alpha;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnu;Pretty Soldier Sailor Moon (ver. 95/03/22B, USA);MAME (Advance);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnu;Pretty Soldier Sailor Moon (Ver. 95/03/22B, USA);MAME (Advance);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnu;Pretty Soldier Sailor Moon (ver. 95/03/22B, USA);MAME (Libretro);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnu;Pretty Soldier Sailor Moon (Ver. 95/03/22B, USA);MAME (Libretro);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnu;Pretty Soldier Sailor Moon (ver. 95/03/22B, USA);MAME (Mame4all);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnu;Pretty Soldier Sailor Moon (Ver. 95/03/22B, USA);MAME (Mame4all);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
Sailor Moon (France);Sailor Moon (France);Super Nintendo Entertainment System;;1993;Bandai;Beat-'Em-Up;;;;;0;;;;;
