#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Ma Qiao E Mo Ta - Devilish Mahjong Tower (China) (Unl);Ma Qiao E Mo Ta - Devilish Mahjong Tower (China) (Unl);Sega Mega Drive Japan;;;C&E INC.;Puzzle;2;;;;;;;Ma Qiao E Mo Ta: Devilish Mahjong Tower;;
Madou Monogatari I (Japan);Madou Monogatari I (Japan);Sega Mega Drive Japan;;;Compile;Role-Playing;;;;;;;;Madou Monogatari I;;
Magical Hat no Buttobi Turbo! Daibouken (Japan);Magical Hat no Buttobi Turbo! Daibouken (Japan);Sega Mega Drive Japan;;;Sega;Platform;1;;;;;;;Magical Hat no Buttobi Turbo! Daibouken;;
Magical Taruruuto-kun (Japan);Magical Taruruuto-kun (Japan);Sega Mega Drive Japan;;;Sega;Action;1;;;;;;;Magical * Taruruuto-kun;;
Mahjong Cop Ryuu - Shiro Ookami no Yabou (Japan);Mahjong Cop Ryuu - Shiro Ookami no Yabou (Japan);Sega Mega Drive Japan;;;Sega;;1;;;;;;;Mahjong Cop Ryuu: Shiro Ookami no Yabou;;
Mamono Hunter Youko - Dai 7 no Keishou (Japan);Mamono Hunter Youko - Dai 7 no Keishou (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Maou Renjishi (Japan);Maou Renjishi (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Maten no Soumetsu (Japan);Maten no Soumetsu (Japan);Sega Mega Drive Japan;;;Kodansha Ltd.;Role-Playing;;;;;;;;Maten no Soumetsu;;
Mazin Saga (Asia);Mazin Saga (Asia);Sega Mega Drive Japan;;;;;;;;;;;;;;
Medal City (Japan) (SegaNet);Medal City (Japan) (SegaNet);Sega Mega Drive Japan;;;Sega;;1;;;;;;;Medal City;;
Mega Lo Mania (Japan);Mega Lo Mania (Japan);Sega Mega Drive Japan;;;Virgin Games, Ltd.;Strategy;;;;;;;;Mega-Lo-Mania;;
MegaMind (Japan) (SegaNet);MegaMind (Japan) (SegaNet);Sega Mega Drive Japan;;;Sega;Puzzle;1;;;;;;;MegaMind;;
MegaPanel (Japan);MegaPanel (Japan);Sega Mega Drive Japan;;;Namco;Puzzle;2;;;;;;;Megapanel;;
MegaTrax (Japan);MegaTrax (Japan);Sega Mega Drive Japan;;;;;;;;;;;;MegaTrax;;
Meng Huan Shui Guo Pan - 777 Casino (China) (Unl);Meng Huan Shui Guo Pan - 777 Casino (China) (Unl);Sega Mega Drive Japan;;;;;;;;;;;;;;
Metal Fangs (Japan);Metal Fangs (Japan);Sega Mega Drive Japan;;;Victor Entertainment;Action, Racing;;;;;;;;Metal Fangs;;
Minato no Traysia (Japan);Minato no Traysia (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Mugen Senshi Valis (Japan);Mugen Senshi Valis (Japan);Sega Mega Drive Japan;;;Tokuma Shoten Publishing Co., Ltd.;Action;1;;;;;;;Mugen Senshi Valis;;
NBA Playoffs - Bulls vs Blazers (Japan);NBA Playoffs - Bulls vs Blazers (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
NBA Pro Basketball '94 (Japan);NBA Pro Basketball '94 (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
NBA Pro Basketball - Bulls vs Lakers (Japan);NBA Pro Basketball - Bulls vs Lakers (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
NFL Football '94 (Japan);NFL Football '94 (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
NHK Taiga Drama - Taiheiki (Japan);NHK Taiga Drama - Taiheiki (Japan);Sega Mega Drive Japan;;;NHK Software;Strategy;1;;;;;;;NHK Taiga Drama Taiheiki;;
Nakajima Satoru Kanshuu - F-1 Grand Prix (Japan);Nakajima Satoru Kanshuu - F-1 Grand Prix (Japan);Sega Mega Drive Japan;;;Varie;Racing;1;;;;;;;Nakajima Satoru Kanshuu F-1 Grand Prix;;
Nakajima Satoru Kanshuu - F-1 Hero MD (Japan);Nakajima Satoru Kanshuu - F-1 Hero MD (Japan);Sega Mega Drive Japan;;;Varie;Sports;1;;;;;;;Nakajima Satoru Kanshuu: F1 Hero MD;;
Nakajima Satoru Kanshuu - F-1 Super License (Japan);Nakajima Satoru Kanshuu - F-1 Super License (Japan);Sega Mega Drive Japan;;;Varie;Racing;1;;;;;;;Nakajima Satoru Kanshuu: F1 Super License;;
Nekketsu Koukou Dodgeball-bu - Soccer Hen MD (Japan);Nekketsu Koukou Dodgeball-bu - Soccer Hen MD (Japan);Sega Mega Drive Japan;;;PalSoft;Sports;2;;;;;;;Nekketsu Koukou Dodgeball-bu Soccer-hen MD;;
New 3D Golf Simulation - Devil's Course (Japan);New 3D Golf Simulation - Devil's Course (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
New 3D Golf Simulation - Harukanaru Augusta (Japan);New 3D Golf Simulation - Harukanaru Augusta (Japan);Sega Mega Drive Japan;;;T&E Soft, Inc.;Sports;4;;;;;;;New 3D Golf Simulation: Harukanaru Augusta;;
New 3D Golf Simulation - Pebble Beach no Hatou (Japan);New 3D Golf Simulation - Pebble Beach no Hatou (Japan);Sega Mega Drive Japan;;;Sega;Sports;4;;;;;;;New 3D Golf Simulation: Pebble Beach no Hatou;;
New 3D Golf Simulation - Waialae no Kiseki (Japan);New 3D Golf Simulation - Waialae no Kiseki (Japan);Sega Mega Drive Japan;;;Sega;Sports;4;;;;;;;New 3D Golf Simulation: Waialae no Kiseki;;
New Zealand Story, The (Japan);New Zealand Story, The (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Nikkan Sports Pro Yakyuu Van (Japan);Nikkan Sports Pro Yakyuu Van (Japan);Sega Mega Drive Japan;;;Sega;Sports;;;;;;;;Nikkan Sports Pro Yakyuu VAN;;
Ninja Burai Densetsu (Japan);Ninja Burai Densetsu (Japan);Sega Mega Drive Japan;;;Sega;Strategy;1;;;;;;;Ninja Burai Densetsu;;
Nobunaga no Yabou - Bushou Fuuunroku (Japan);Nobunaga no Yabou - Bushou Fuuunroku (Japan);Sega Mega Drive Japan;;;Koei Co., Ltd.;Strategy;;;;;;;;Nobunaga no Yabou: Bushou Fuuunroku;;
Nobunaga no Yabou - Haouden (Japan);Nobunaga no Yabou - Haouden (Japan);Sega Mega Drive Japan;;;Koei Co., Ltd.;Strategy;;;;;;;;Nobunaga no Yabou: Haouden;;
Nobunaga no Yabou - Zenkoku Ban (Japan);Nobunaga no Yabou - Zenkoku Ban (Japan);Sega Mega Drive Japan;;;Koei Co., Ltd.;Strategy;1;;;;;;;Nobunaga no Yabou - Zenkoku Ban;;
On Dal Jang Goon (Korea);On Dal Jang Goon (Korea);Sega Mega Drive Japan;;;;;;;;;;;;;;
Osomatsu-kun Hachamecha Gekijou (Japan);Osomatsu-kun Hachamecha Gekijou (Japan);Sega Mega Drive Japan;;;Sega;Action;1;;;;;;;Osomatsu-kun: Hachamecha Gekijou;;
Ozaki Naomichi no Super Masters (Japan);Ozaki Naomichi no Super Masters (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
