Dragon Ball Z - Ultimate Battle 22 (USA);Dragon Ball Z - Ultimate Battle 22 (USA);Sony PlayStation;;2003;Infogrames;Fighter;;;;;0;;;;;
Dragon Ball Z - Ultime Menace (France);Dragon Ball Z - Ultime Menace (France);Super Nintendo Entertainment System;;1994;TOSE;Fighter;;;;;0;;;;;
Dragon Fighter (USA);Dragon Fighter (USA);Nintendo Entertainment System;;1992;Sofel;Action;;;;;0;;;;;
DragonFighter_v1.1_1023;Dragon Fighter;Commodore Amiga;;;;;;;;;0;;;;;
Dual Blades (USA);Dual Blades (USA);Nintendo Game Boy Advance;;2002;Metro3D;Fighter;;;;;0;;;;;
Dual Heroes (USA);Dual Heroes (USA);Nintendo 64;;1998;Electro Brain;Fighter;;;;;0;;;;;
Dynasty Warriors (USA);Dynasty Warriors (USA);Sony PSP;;1997;Koei;Fighter;;;;;0;;;;;
Dynasty Warriors (USA);Dynasty Warriors (USA);Sony PlayStation;;1997;Koei;Fighter;;;;;0;;;;;
Eagle Fighter (Japan) (Alt 1);Eagle Fighter (Japan) (Alt 1);Microsoft MSX;;;;;;;;;0;;;;;
Eagle Fighter (Japan);Eagle Fighter (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Ehrgeiz - God Bless the Ring (USA);Ehrgeiz - God Bless the Ring (USA);Sony PSP;;1999;Squaresoft;Fighter;;;;;0;;;;;
Ehrgeiz - God Bless the Ring (USA);Ehrgeiz - God Bless the Ring (USA);Sony PlayStation;;1999;Squaresoft;Fighter;;;;;0;;;;;
Eternal Champions (USA);Eternal Champions (USA);Sega Genesis;;1993;Sega;Fighter;;;;;0;;;;;
Eternal Champions - Challenge from the Dark Side (USA);Eternal Champions - Challenge from the Dark Side (USA);Sega CD;;1994;Sega;Fighter;;;;;0;;;;;
Evil Zone (USA);Evil Zone (USA);Sony PSP;;1999;Titus Software;Fighter;;;;;0;;;;;
Evil Zone (USA);Evil Zone (USA);Sony PlayStation;;1999;Titus Software;Fighter;;;;;0;;;;;
Exploding Fist (USA) (Proto);Exploding Fist (USA) (Proto);Nintendo Entertainment System;;1991;Beam Software;Fighter;;;;;0;;;;;
